instance,#jobs,#machines,increment,#Varibles,final time point,Before Tune Weighted Completion Time,Before Tune Total Deviation,Before Tune Weighted Total Tardiness,After Tune Weighted Completion Time,After Tune Total Deviation,After Tune Weighted Total Tardiness,Before Tune Objective Value,After Tune Objective,After Tune Gap,Low Cpu Time,Medium Cpu Time,High Cpu Time,Tune Cpu Time
0,20,6,1,0,198,8846.000000,0.000000,15384.000000,8846.000000,0.000000,15384.000000,162686.000000,162686.000000,0.000000,0.121981,0.243905,0.758935,32.849278
0,20,6,2,0,198,8849.000000,0.000000,15384.000000,8846.000000,0.000000,15384.000000,162689.000000,162686.000000,0.000000,0.037959,0.061394,0.270516,36.331372
1,20,6,1,0,147,5152.000000,0.000000,665.000000,5152.000000,0.000000,561.000000,11802.000000,10762.000000,0.000000,0.239909,0.142935,0.156992,24.575682
1,20,6,2,0,147,5223.000000,0.000000,898.000000,5152.000000,0.000000,561.000000,14203.000000,10762.000000,0.000000,0.058188,0.088851,0.051410,22.884934
2,20,6,1,0,165,6551.000000,0.000000,6779.000000,6437.000000,0.000000,6779.000000,74341.000000,74227.000000,0.000000,0.240247,0.202151,0.167702,5.070947
2,20,6,2,0,165,6551.000000,0.000000,7046.000000,6437.000000,0.000000,6779.000000,77011.000000,74227.000000,0.000000,0.112446,0.199331,0.066259,6.607769
0,30,6,1,0,280,17900.000000,0.000000,11844.000000,17708.000000,0.000000,11840.000000,136340.000000,136108.000000,0.000808,0.280508,0.800873,16.352335,581.013728
0,30,6,2,0,280,18483.000000,0.000000,11833.000000,17710.000000,0.000000,11840.000000,136813.000000,136110.000000,0.000536,0.073387,0.268444,4.515404,593.009682
1,30,6,1,0,230,10939.000000,0.000000,3891.000000,10695.000000,0.000000,3891.000000,49849.000000,49605.000000,0.002157,1.469309,1.513707,2.403609,593.022274
1,30,6,2,0,230,11076.000000,0.000000,3891.000000,10744.000000,0.000000,3891.000000,49986.000000,49654.000000,0.132980,0.908443,0.682895,0.820635,597.009208
2,30,6,1,0,223,13197.000000,0.000000,646.000000,12974.000000,0.000000,130.000000,19657.000000,14274.000000,0.009458,1.609597,1.349233,1.793850,594.017693
2,30,6,2,0,223,13539.000000,0.000000,1068.000000,12974.000000,0.000000,130.000000,24219.000000,14274.000000,0.027042,0.477757,0.470464,0.523502,597.021054
0,40,6,1,0,345,27899.000000,0.000000,2784.000000,26910.000000,0.000000,2784.000000,55739.000000,54750.000000,0.189753,4.774873,5.362364,83.851600,505.022985
0,40,6,2,0,345,28410.000000,0.000000,3524.000000,27715.000000,0.000000,3428.000000,63650.000000,61995.000000,0.319042,1.394163,0.541267,42.542205,554.020356
1,40,6,1,0,327,19208.000000,0.000000,623.000000,18472.000000,0.000000,574.000000,25438.000000,24212.000000,0.020692,7.684390,3.827920,30.807862,557.011116
1,40,6,2,0,327,19307.000000,0.000000,623.000000,18545.000000,0.000000,574.000000,25537.000000,24285.000000,0.030430,1.671027,1.520976,4.686261,591.024007
2,40,6,1,0,308,22357.000000,0.000000,500.000000,21133.000000,0.000000,400.000000,27357.000000,25133.000000,0.019655,4.167354,3.551666,4.988313,586.024229
2,40,6,2,0,308,22687.000000,0.000000,536.000000,21084.000000,0.000000,400.000000,28047.000000,25084.000000,0.017820,0.628215,0.827648,2.238407,595.022253
0,50,6,1,0,487,34555.000000,0.000000,0.000000,34196.000000,0.000000,0.000000,34555.000000,34196.000000,0.049304,158.449018,171.938935,200.010184,69.012901
0,50,6,2,0,487,35118.000000,0.000000,0.000000,34453.000000,0.000000,0.000000,35118.000000,34453.000000,0.051636,8.124587,3.331951,200.017403,387.010815
1,50,6,1,0,402,29105.000000,0.000000,2282.000000,28001.000000,0.000000,2092.000000,51925.000000,48921.000000,0.362339,12.111589,21.997124,200.013779,365.011479
1,50,6,2,0,402,29885.000000,0.000000,2443.000000,28261.000000,0.000000,2101.000000,54315.000000,49271.000000,0.192507,4.174267,23.830164,66.658514,504.011973
2,50,6,1,0,453,30026.000000,0.000000,0.000000,30026.000000,0.000000,0.000000,30026.000000,30026.000000,0.000000,200.012536,263.017976,136.080972,0.000000
2,50,6,2,0,453,30433.000000,0.000000,0.000000,28237.000000,0.000000,0.000000,30433.000000,28237.000000,0.060630,16.549687,36.133042,12.808179,533.013884
