instance,#jobs,#machines,increment,#Varibles,final time point,Before Tune Weighted Completion Time,Before Tune Total Deviation,Before Tune Weighted Total Tardiness,After Tune Weighted Completion Time,After Tune Total Deviation,After Tune Weighted Total Tardiness,Before Tune Objective Value,After Tune Objective,After Tune Gap,Low Cpu Time,Medium Cpu Time,High Cpu Time,Tune Cpu Time
3,20,6,1,0,166,8276.000000,0.000000,17664.000000,7668.000000,0.000000,14654.000000,184916.000000,154208.000000,0.000000,0.089187,0.204981,0.411813,9.012670
3,20,6,2,0,166,8164.000000,0.000000,18352.000000,7740.000000,0.000000,14648.000000,191684.000000,154220.000000,0.000091,0.035725,0.103246,0.134764,7.995332
4,20,6,1,0,180,6226.000000,0.000000,1875.000000,6390.000000,0.000000,1326.000000,24976.000000,19650.000000,0.000000,0.156083,0.728804,0.270402,51.706317
4,20,6,2,0,180,6226.000000,0.000000,1875.000000,6390.000000,0.000000,1326.000000,24976.000000,19650.000000,0.000000,0.044455,0.226848,0.087830,45.030927
3,30,6,1,0,242,16249.000000,0.000000,19182.000000,14347.000000,0.000000,12189.000000,208069.000000,136237.000000,0.000081,1.853376,0.743564,9.977664,183.111689
3,30,6,2,0,242,16246.000000,0.000000,19967.000000,14347.000000,0.000000,12189.000000,215916.000000,136237.000000,0.000088,0.244336,0.222549,2.427844,126.563182
4,30,6,1,0,258,13293.000000,0.000000,679.000000,13073.000000,0.000000,13.000000,20083.000000,13203.000000,0.052185,0.521938,1.406025,4.071832,592.018333
4,30,6,2,0,258,13305.000000,0.000000,679.000000,13073.000000,0.000000,13.000000,20095.000000,13203.000000,0.046580,0.307886,0.596258,0.980541,597.024043
3,40,6,1,0,361,21578.000000,0.000000,74.000000,20289.000000,0.000000,16.000000,22318.000000,20449.000000,0.027728,3.714050,3.584049,20.311161,571.026355
3,40,6,2,0,361,21923.000000,0.000000,36.000000,20791.000000,0.000000,0.000000,22283.000000,20791.000000,0.043096,1.579598,0.859719,3.681037,593.024666
4,40,6,1,0,306,21476.000000,0.000000,0.000000,21292.000000,0.000000,0.000000,21476.000000,21292.000000,0.082144,1.996829,108.599062,200.005617,289.025032
4,40,6,2,0,306,22035.000000,0.000000,2.000000,21270.000000,0.000000,0.000000,22055.000000,21270.000000,0.080254,2.371676,7.956078,23.814550,565.010681
3,50,6,1,0,465,29345.000000,0.000000,0.000000,28352.000000,0.000000,0.000000,29345.000000,28352.000000,0.050931,8.476761,16.753618,200.010033,374.012602
3,50,6,2,0,465,29529.000000,0.000000,45.000000,28345.000000,0.000000,0.000000,29979.000000,28345.000000,0.050697,4.031470,3.138909,200.008909,391.013482
4,50,6,1,0,402,30192.000000,0.000000,0.000000,29705.000000,0.000000,0.000000,30192.000000,29705.000000,0.061067,3.888966,200.009030,200.016306,196.012629
4,50,6,2,0,402,31836.000000,0.000000,0.000000,29529.000000,0.000000,0.000000,31836.000000,29529.000000,0.054286,0.960501,11.938017,200.010564,387.005749
