
Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 20:58:07 2023

Set parameter LogFile to value "Java/output/iterative_model_2_machine/scenario_seed_4_nJob_50_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1250 rows, 9894 columns and 67994 nonzeros
Model fingerprint: 0xa9eb3057
Variable types: 0 continuous, 9894 integer (9894 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e+01, 4e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 2.640622e+07
Presolve removed 78 rows and 1217 columns
Presolve time: 0.09s
Presolved: 1172 rows, 8677 columns, 59612 nonzeros
Variable types: 0 continuous, 8677 integer (8675 binary)
Found heuristic solution: objective 2.428802e+07

Root relaxation: objective 1.042833e+04, 1957 iterations, 0.07 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 10428.3317    0  112 2.4288e+07 10428.3317   100%     -    0s
H    0     0                    1.260138e+07 10428.3317   100%     -    0s
H    0     0                    8557984.0000 10428.3317   100%     -    0s
H    0     0                    3546512.0000 10428.3317   100%     -    0s
H    0     0                    209760.00000 10457.2226  95.0%     -    0s
H    0     0                    209728.00000 10457.2226  95.0%     -    0s
     0     0 10457.2226    0  179 209728.000 10457.2226  95.0%     -    0s
H    0     0                    209584.00000 10457.2226  95.0%     -    0s
     0     0 10458.8089    0  163 209584.000 10458.8089  95.0%     -    0s
     0     0 10458.8375    0  169 209584.000 10458.8375  95.0%     -    0s
     0     0 10466.2714    0  153 209584.000 10466.2714  95.0%     -    0s
     0     0 10466.2714    0  116 209584.000 10466.2714  95.0%     -    0s
H    0     0                    209392.00000 10466.2714  95.0%     -    0s
H    0     0                    209328.00000 10466.2714  95.0%     -    0s
     0     0 10500.8824    0  190 209328.000 10500.8824  95.0%     -    0s
H    0     0                    209232.00000 10500.8824  95.0%     -    0s
     0     0 10544.6405    0  183 209232.000 10544.6405  95.0%     -    0s
     0     0 10545.8232    0  180 209232.000 10545.8232  95.0%     -    0s
     0     0 10545.9179    0  187 209232.000 10545.9179  95.0%     -    0s
     0     0 10546.0927    0  164 209232.000 10546.0927  95.0%     -    0s
     0     0 10546.1103    0  167 209232.000 10546.1103  95.0%     -    0s
H    0     0                    209200.00000 10546.1103  95.0%     -    1s
     0     0 10898.9948    0  185 209200.000 10898.9948  94.8%     -    1s
H    0     0                    209168.00000 10898.9948  94.8%     -    1s
     0     0 10922.9599    0  207 209168.000 10922.9599  94.8%     -    1s
     0     0 10922.9599    0  209 209168.000 10922.9599  94.8%     -    1s
H    0     0                    208992.00000 10922.9599  94.8%     -    1s
     0     0 11641.5405    0  217 208992.000 11641.5405  94.4%     -    1s
     0     0 11748.4269    0  216 208992.000 11748.4269  94.4%     -    1s
     0     0 11792.0616    0  199 208992.000 11792.0616  94.4%     -    1s
     0     0 11792.1808    0  205 208992.000 11792.1808  94.4%     -    1s
H    0     0                    208960.00000 11792.1808  94.4%     -    1s
H    0     0                    208928.00000 11792.1808  94.4%     -    1s
H    0     0                    125568.00000 11792.1808  90.6%     -    1s
     0     0 12903.6406    0  201 125568.000 12903.6406  89.7%     -    1s
H    0     0                    125536.00000 12903.6406  89.7%     -    1s
     0     0 13233.0250    0  198 125536.000 13233.0250  89.5%     -    1s
     0     0 13237.0477    0  207 125536.000 13237.0477  89.5%     -    1s
     0     0 13237.1814    0  210 125536.000 13237.1814  89.5%     -    1s
     0     0 13583.6222    0  208 125536.000 13583.6222  89.2%     -    1s
H    0     0                    123776.00000 13583.6222  89.0%     -    1s
     0     0 13604.8874    0  229 123776.000 13604.8874  89.0%     -    1s
     0     0 13658.9455    0  210 123776.000 13658.9455  89.0%     -    1s
     0     0 13662.7434    0  215 123776.000 13662.7434  89.0%     -    1s
     0     0 13662.7836    0  220 123776.000 13662.7836  89.0%     -    1s
     0     0 14168.9842    0  240 123776.000 14168.9842  88.6%     -    1s
     0     0 14951.8515    0  237 123776.000 14951.8515  87.9%     -    1s
     0     0 15066.2851    0  208 123776.000 15066.2851  87.8%     -    1s
     0     0 15079.1396    0  219 123776.000 15079.1396  87.8%     -    1s
     0     0 15080.5051    0  228 123776.000 15080.5051  87.8%     -    1s
     0     0 17108.5268    0  251 123776.000 17108.5268  86.2%     -    1s
     0     0 18250.1315    0  245 123776.000 18250.1315  85.3%     -    1s
     0     0 18388.5026    0  233 123776.000 18388.5026  85.1%     -    2s
     0     0 18399.5784    0  239 123776.000 18399.5784  85.1%     -    2s
     0     0 18401.6514    0  248 123776.000 18401.6514  85.1%     -    2s
     0     0 20499.0883    0  235 123776.000 20499.0883  83.4%     -    2s
     0     0 20638.9006    0  250 123776.000 20638.9006  83.3%     -    2s
     0     0 20645.5683    0  240 123776.000 20645.5683  83.3%     -    2s
     0     0 22854.3931    0  240 123776.000 22854.3931  81.5%     -    2s
