instance,#jobs,#machines,increment,#Varibles,final time point,Before Tune Weighted Completion Time,Before Tune Total Deviation,Before Tune Weighted Total Tardiness,After Tune Weighted Completion Time,After Tune Total Deviation,After Tune Weighted Total Tardiness,Before Tune Objective Value,After Tune Objective,After Tune Gap,Low Cpu Time,Medium Cpu Time,High Cpu Time,Tune Cpu Time,Low Total Weighted Completion Time,Medium Total Weighted Completion Time,High Total Weighted Completion Time,Low Total Weighted Tardiness,Medium Total Weighted Tardiness,High Total Weighted Tardiness
0,20,12,1,0,100,6210.000000,0.000000,41791.000000,6080.000000,0.000000,40889.000000,424120.000000,414970.000000,0.000081,0.038889,0.095559,0.185557,12.308070,658.000000,1632.000000,3920.000000,923.000000,11908.000000,28960.000000
0,20,12,2,0,100,6228.000000,0.000000,44308.000000,6080.000000,0.000000,40889.000000,449308.000000,414970.000000,0.000000,0.012678,0.046960,0.075847,14.098196,664.000000,1612.000000,3952.000000,1352.000000,12620.000000,30336.000000
1,20,12,1,0,75,3780.000000,0.000000,5146.000000,3732.000000,0.000000,4429.000000,55240.000000,48022.000000,0.000000,0.041013,0.055938,0.053758,3.504545,500.000000,1072.000000,2208.000000,822.000000,3588.000000,736.000000
1,20,12,2,0,75,3822.000000,0.000000,5907.000000,3732.000000,0.000000,4429.000000,62892.000000,48022.000000,0.000000,0.011681,0.029779,0.019968,4.185992,502.000000,1096.000000,2224.000000,1007.000000,4164.000000,736.000000
2,20,12,1,0,85,4575.000000,0.000000,21612.000000,4773.000000,0.000000,20723.000000,220695.000000,212003.000000,0.000000,0.074224,0.226513,0.061689,5.101762,599.000000,1160.000000,2816.000000,4212.000000,1736.000000,15664.000000
2,20,12,2,0,85,4594.000000,0.000000,21859.000000,4775.000000,0.000000,20583.000000,223184.000000,210605.000000,0.000000,0.054468,0.068173,0.029561,3.968538,602.000000,1160.000000,2832.000000,3851.000000,1976.000000,16032.000000
3,20,12,1,0,79,5215.000000,0.000000,29171.000000,5017.000000,0.000000,26180.000000,296925.000000,266817.000000,0.000000,0.063819,0.050747,0.162772,5.957517,563.000000,1212.000000,3440.000000,2815.000000,4356.000000,22000.000000
3,20,12,2,0,79,5166.000000,0.000000,33383.000000,5017.000000,0.000000,26180.000000,338996.000000,266817.000000,0.000000,0.018224,0.021267,0.065696,7.662750,578.000000,1292.000000,3296.000000,3699.000000,7188.000000,22496.000000
4,20,12,1,0,86,4100.000000,0.000000,8651.000000,4068.000000,0.000000,7242.000000,90610.000000,76488.000000,0.000026,0.047742,0.655929,0.071792,6.949811,560.000000,1300.000000,2240.000000,1679.000000,6252.000000,720.000000
4,20,12,2,0,86,4136.000000,0.000000,9674.000000,4068.000000,0.000000,7242.000000,100876.000000,76488.000000,0.000065,0.038482,0.223600,0.031927,20.716919,600.000000,1280.000000,2256.000000,2546.000000,6232.000000,896.000000
0,30,12,1,0,141,11777.000000,0.000000,26836.000000,11635.000000,0.000000,26233.000000,280137.000000,273965.000000,0.114915,0.315938,0.172985,15.907404,582.016986,1101.000000,3220.000000,7456.000000,632.000000,1468.000000,24736.000000
0,30,12,2,0,141,11879.000000,0.000000,28980.000000,11652.000000,0.000000,26254.000000,301679.000000,274192.000000,0.101489,0.057112,0.189746,1.917368,596.017524,1111.000000,3232.000000,7536.000000,600.000000,1980.000000,26400.000000
1,30,12,1,0,117,7697.000000,0.000000,878.000000,7732.000000,0.000000,703.000000,16477.000000,14762.000000,0.034684,1.135062,0.546344,0.608375,596.032560,841.000000,2232.000000,4624.000000,462.000000,96.000000,320.000000
1,30,12,2,0,117,7587.000000,0.000000,1288.000000,7760.000000,0.000000,719.000000,20467.000000,14950.000000,0.076588,0.791191,0.504032,0.052284,597.009900,851.000000,2304.000000,4432.000000,564.000000,260.000000,464.000000
2,30,12,1,0,115,9763.000000,0.000000,14685.000000,9617.000000,0.000000,13765.000000,156613.000000,147267.000000,0.000088,1.067255,0.517418,1.265302,51.707667,1031.000000,2732.000000,6000.000000,4373.000000,5864.000000,4448.000000
2,30,12,2,0,115,9831.000000,0.000000,15896.000000,9617.000000,0.000000,13765.000000,168791.000000,147267.000000,0.000095,0.537665,0.267849,0.301314,114.490029,1051.000000,2764.000000,6016.000000,5260.000000,5964.000000,4672.000000
3,30,12,1,0,114,9239.000000,0.000000,23512.000000,8918.000000,0.000000,21016.000000,244359.000000,219078.000000,0.000049,0.410916,0.500437,1.727732,67.457715,867.000000,2468.000000,5904.000000,1484.000000,4476.000000,17552.000000
3,30,12,2,0,114,9417.000000,0.000000,24205.000000,8927.000000,0.000000,21016.000000,251467.000000,219087.000000,0.000089,0.112012,0.161989,0.424853,65.906962,869.000000,2500.000000,6048.000000,1529.000000,4516.000000,18160.000000
4,30,12,1,0,122,9289.000000,0.000000,8040.000000,9017.000000,0.000000,5889.000000,89689.000000,67907.000000,0.000000,1.103683,0.693095,1.209988,51.554576,989.000000,2748.000000,5552.000000,2208.000000,3608.000000,2224.000000
4,30,12,2,0,122,9244.000000,0.000000,7926.000000,9023.000000,0.000000,5889.000000,88504.000000,67913.000000,0.000088,0.216111,0.239178,0.497303,48.356608,1020.000000,2656.000000,5568.000000,1946.000000,3612.000000,2368.000000
0,40,12,1,0,175,17791.000000,0.000000,24006.000000,17741.000000,0.000000,23993.000000,257851.000000,257671.000000,0.163232,1.280929,1.994744,69.267733,526.006233,1759.000000,4704.000000,11328.000000,154.000000,572.000000,23280.000000
0,40,12,2,0,175,17332.000000,0.000000,25580.000000,17192.000000,0.000000,25282.000000,273132.000000,270012.000000,0.201637,0.859782,0.272786,19.390270,578.007276,1764.000000,4688.000000,10880.000000,4.000000,1016.000000,24560.000000
1,40,12,1,0,166,12895.000000,0.000000,640.000000,12487.000000,0.000000,624.000000,19295.000000,18727.000000,0.001816,2.133672,6.258974,2.724467,587.012827,1511.000000,3528.000000,7856.000000,16.000000,0.000000,624.000000
1,40,12,2,0,166,12817.000000,0.000000,928.000000,12512.000000,0.000000,624.000000,22097.000000,18752.000000,0.003520,0.554753,0.865296,0.782195,597.019888,1529.000000,3544.000000,7744.000000,64.000000,0.000000,864.000000
