instance,#jobs,#machines,increment,#Varibles,final time point,Before Tune Weighted Completion Time,Before Tune Total Deviation,Before Tune Weighted Total Tardiness,After Tune Weighted Completion Time,After Tune Total Deviation,After Tune Weighted Total Tardiness,Before Tune Objective Value,After Tune Objective,After Tune Gap,Low Cpu Time,Medium Cpu Time,High Cpu Time,Tune Cpu Time,Low Total Weighted Completion Time,Medium Total Weighted Completion Time,High Total Weighted Completion Time,Low Total Weighted Tardiness,Medium Total Weighted Tardiness,High Total Weighted Tardiness
0,50,6,1,0,487,34652.000000,0.000000,0.000000,34652.000000,0.000000,0.000000,34652.000000,34652.000000,0.000000,16.005402,16.008136,16.004306,0.000000,4824.000000,10852.000000,18976.000000,0.000000,0.000000,0.000000
0,50,6,2,0,487,35110.000000,0.000000,0.000000,35050.000000,0.000000,0.000000,35110.000000,35050.000000,1.000000,15.590933,3.600027,16.004693,12.005381,4926.000000,11224.000000,18960.000000,0.000000,0.000000,0.000000
1,50,6,1,0,402,29173.000000,0.000000,2282.000000,29173.000000,0.000000,2282.000000,51993.000000,51993.000000,0.000000,15.830824,14.200605,16.008489,0.000000,5409.000000,10068.000000,13696.000000,882.000000,1400.000000,0.000000
1,50,6,2,0,402,29689.000000,0.000000,2443.000000,28936.000000,0.000000,2267.000000,54119.000000,51606.000000,0.484032,4.730459,9.148209,16.004283,17.013759,5417.000000,10432.000000,13840.000000,1043.000000,1400.000000,0.000000
2,50,6,1,0,453,31099.000000,0.000000,5286.000000,31099.000000,0.000000,5286.000000,83959.000000,83959.000000,0.000000,16.006890,16.006387,16.005632,0.000000,4903.000000,10756.000000,15440.000000,5286.000000,0.000000,0.000000
2,50,6,2,0,453,30439.000000,0.000000,0.000000,30439.000000,0.000000,0.000000,30439.000000,30439.000000,0.000000,16.006588,19.005633,12.867502,0.000000,4707.000000,10228.000000,15504.000000,0.000000,0.000000,0.000000
3,50,6,1,0,465,29661.000000,0.000000,0.000000,29661.000000,0.000000,0.000000,29661.000000,29661.000000,1.000000,9.625315,16.006094,16.008312,6.005616,5233.000000,9900.000000,14528.000000,0.000000,0.000000,0.000000
3,50,6,2,0,465,29529.000000,0.000000,45.000000,29083.000000,0.000000,45.000000,29979.000000,29533.000000,0.098049,4.060503,3.297155,16.006192,23.004906,5197.000000,9884.000000,14448.000000,45.000000,0.000000,0.000000
4,50,6,1,0,402,31180.000000,0.000000,0.000000,31180.000000,0.000000,0.000000,31180.000000,31180.000000,0.000000,16.005435,16.007030,16.003561,0.000000,4688.000000,10588.000000,15904.000000,0.000000,0.000000,0.000000
4,50,6,2,0,402,31836.000000,0.000000,0.000000,31591.000000,0.000000,0.000000,31836.000000,31591.000000,1.000000,1.061391,12.379687,16.007727,17.007103,4748.000000,11152.000000,15936.000000,0.000000,0.000000,0.000000
