instance,#jobs,#machines,increment,#Varibles,final time point,Weighted Completion Time,Total Deviation,Weighted Total Tardiness,Objective Value,Gap,Cpu Time
3,20,6,1,9185,166,7668.000000,0.000000,14654.000000,154208.000000,0.000000,9.585603
3,20,6,2,4620,166,7610.000000,0.000000,15256.000000,160170.000000,0.000000,2.603845
3,20,6,5,1870,166,7815.000000,0.000000,19257.000000,200385.000000,0.000063,0.769587
4,20,6,1,11403,180,6390.000000,0.000000,1326.000000,19650.000000,0.000000,151.782007
4,20,6,2,5733,180,6611.000000,0.000000,1441.000000,21021.000000,0.000000,80.270565
4,20,6,5,2331,180,6602.000000,0.000000,1914.000000,25742.000000,0.000000,1.503833
3,30,6,1,19926,242,14347.000000,0.000000,12189.000000,136237.000000,0.000095,223.304916
3,30,6,2,10004,242,14625.000000,0.000000,12189.000000,136515.000000,0.000000,54.672857
3,30,6,5,4018,242,15530.000000,0.000000,23441.000000,249940.000000,0.000000,3.484830
4,30,6,1,24605,258,29336.000000,0.000000,1014556.000000,10174896.000000,0.999596,600.018603
4,30,6,2,12350,258,13103.000000,0.000000,20.000000,13303.000000,0.000000,409.978642
4,30,6,5,4940,258,13707.000000,0.000000,2082.000000,34527.000000,0.000000,8.899904
3,40,6,1,40906,361,20729.000000,0.000000,0.000000,20729.000000,0.043900,600.014536
3,40,6,2,20453,361,20791.000000,0.000000,0.000000,20791.000000,0.000041,543.907976
3,40,6,5,8249,361,20841.000000,0.000000,682.000000,27661.000000,0.000000,90.876391
4,40,6,1,36533,306,21192.000000,0.000000,16233.000000,183522.000000,0.903052,600.027609
4,40,6,2,18326,306,21422.000000,0.000000,228.000000,23702.000000,0.436018,600.012901
4,40,6,5,7378,306,21244.000000,0.000000,2274.000000,43984.000000,0.000000,406.280947
3,50,6,1,67104,465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,50,6,2,33552,465,29186.000000,0.000000,0.000000,29186.000000,0.067871,600.020440
3,50,6,5,13536,465,29217.000000,0.000000,405.000000,33267.000000,0.019347,600.013540
4,50,6,1,58838,402,57212.000000,0.000000,2450164.000000,24558852.000000,0.999559,600.028098
4,50,6,2,29492,402,30325.000000,0.000000,0.000000,30325.000000,0.061891,600.016130
4,50,6,5,11826,402,31610.000000,0.000000,968.000000,41290.000000,0.013347,600.018900
