
Gurobi 9.5.2 (mac64[arm]) logging started Wed Apr 19 14:19:28 2023

Set parameter LogFile to value "Java/output/pure_mip/scenario_seed_0_nJob_50_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 790 rows, 13500 columns and 58631 nonzeros
Model fingerprint: 0x50de08f6
Variable types: 0 continuous, 13500 integer (13500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+02]
  Objective range  [1e+00, 2e+07]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1.460934e+08
Presolve added 20 rows and 0 columns
Presolve removed 0 rows and 760 columns
Presolve time: 0.06s
Presolved: 810 rows, 12740 columns, 52991 nonzeros
Variable types: 0 continuous, 12740 integer (12712 binary)
Found heuristic solution: objective 1.067672e+08

Root relaxation: objective 3.171071e+04, 8532 iterations, 0.41 seconds (0.78 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 31710.7143    0  268 1.0677e+08 31710.7143   100%     -    0s
H    0     0                    8.737823e+07 31710.7143   100%     -    0s
H    0     0                    8.634418e+07 31710.7143   100%     -    0s
H    0     0                    8.571645e+07 31710.7143   100%     -    0s
H    0     0                    2.966217e+07 31724.5404   100%     -    0s
     0     0 31724.5404    0  446 2.9662e+07 31724.5404   100%     -    0s
H    0     0                    2.956162e+07 31724.5404   100%     -    0s
H    0     0                    2.930440e+07 31724.5404   100%     -    0s
H    0     0                    1.558797e+07 31724.5404   100%     -    0s
     0     0 31725.0434    0  434 1.5588e+07 31725.0434   100%     -    0s
     0     0 31725.0434    0  424 1.5588e+07 31725.0434   100%     -    0s
     0     0 31734.4586    0  505 1.5588e+07 31734.4586   100%     -    1s
H    0     0                    1.558796e+07 31734.4586   100%     -    1s
H    0     0                    1.558787e+07 31734.4586   100%     -    1s
     0     0 31737.2074    0  516 1.5588e+07 31737.2074   100%     -    1s
     0     0 31737.2074    0  514 1.5588e+07 31737.2074   100%     -    1s
     0     0 31748.2297    0  550 1.5588e+07 31748.2297   100%     -    2s
H    0     0                    1.506626e+07 31748.2297   100%     -    2s
     0     0 31751.5981    0  556 1.5066e+07 31751.5981   100%     -    2s
     0     0 31752.2505    0  543 1.5066e+07 31752.2505   100%     -    2s
     0     0 31752.4708    0  548 1.5066e+07 31752.4708   100%     -    2s
     0     0 31752.5291    0  550 1.5066e+07 31752.5291   100%     -    2s
H    0     0                    1.175930e+07 31752.6559   100%     -    2s
     0     0 31752.6559    0  553 1.1759e+07 31752.6559   100%     -    2s
     0     0 31752.6720    0  560 1.1759e+07 31752.6720   100%     -    2s
H    0     0                    1.175223e+07 31769.0741   100%     -    2s
     0     0 31769.0741    0  573 1.1752e+07 31769.0741   100%     -    2s
H    0     0                    1.168626e+07 31769.0741   100%     -    2s
     0     0 31775.6511    0  573 1.1686e+07 31775.6511   100%     -    2s
     0     0 31776.4917    0  578 1.1686e+07 31776.4917   100%     -    2s
H    0     0                    1.168604e+07 31776.6450   100%     -    3s
     0     0 31776.6450    0  589 1.1686e+07 31776.6450   100%     -    3s
     0     0 31776.6454    0  587 1.1686e+07 31776.6454   100%     -    3s
     0     0 31783.6496    0  600 1.1686e+07 31783.6496   100%     -    3s
H    0     0                    1.168600e+07 31783.6496   100%     -    3s
H    0     0                    1.168555e+07 31783.6496   100%     -    3s
     0     0 31787.1305    0  613 1.1686e+07 31787.1305   100%     -    3s
     0     0 31788.3363    0  625 1.1686e+07 31788.3363   100%     -    3s
     0     0 31788.7155    0  620 1.1686e+07 31788.7155   100%     -    3s
     0     0 31789.0956    0  617 1.1686e+07 31789.0956   100%     -    3s
     0     0 31789.1221    0  624 1.1686e+07 31789.1221   100%     -    3s
     0     0 31797.2583    0  634 1.1686e+07 31797.2583   100%     -    3s
     0     0 31798.5484    0  637 1.1686e+07 31798.5484   100%     -    3s
     0     0 31799.2478    0  641 1.1686e+07 31799.2478   100%     -    4s
     0     0 31799.5295    0  643 1.1686e+07 31799.5295   100%     -    4s
     0     0 31799.6279    0  643 1.1686e+07 31799.6279   100%     -    4s
     0     0 31799.6440    0  647 1.1686e+07 31799.6440   100%     -    4s
     0     0 31807.5530    0  652 1.1686e+07 31807.5530   100%     -    4s
     0     0 31809.6237    0  666 1.1686e+07 31809.6237   100%     -    4s
H    0     0                    1.144815e+07 31810.0595   100%     -    4s
     0     0 31810.0595    0  660 1.1448e+07 31810.0595   100%     -    4s
     0     0 31810.7216    0  663 1.1448e+07 31810.7216   100%     -    4s
     0     0 31811.0133    0  668 1.1448e+07 31811.0133   100%     -    4s
     0     0 31811.2694    0  681 1.1448e+07 31811.2694   100%     -    4s
     0     0 31811.2778    0  677 1.1448e+07 31811.2778   100%     -    4s
H    0     0                    1.144409e+07 31815.4153   100%     -    4s
     0     0 31815.4153    0  672 1.1444e+07 31815.4153   100%     -    4s
     0     0 31818.7443    0  679 1.1444e+07 31818.7443   100%     -    4s
