instance,#jobs,#machines,increment,#Varibles,final time point,Weighted Completion Time,Total Deviation,Weighted Total Tardiness,Objective Value,Gap,Cpu Time
0,20,12,1,12726,100,6080.000000,0.000000,40889.000000,414970.000000,0.000000,16.919844
0,20,12,2,6426,100,6164.000000,0.000000,42359.000000,429754.000000,0.000000,4.734303
0,20,12,5,2646,100,6260.000000,0.000000,50365.000000,509910.000000,0.000000,0.667640
1,20,12,1,9120,75,3732.000000,0.000000,4429.000000,48022.000000,0.000000,4.285175
1,20,12,2,4560,75,3726.000000,0.000000,4911.000000,52836.000000,0.000000,0.391410
1,20,12,5,1920,75,3841.000000,0.000000,5781.000000,61651.000000,0.000000,0.191980
2,20,12,1,9976,85,4773.000000,0.000000,20723.000000,212003.000000,0.000000,7.320254
2,20,12,2,4988,85,4901.000000,0.000000,27045.000000,275351.000000,0.000000,1.442170
2,20,12,5,2088,85,4964.000000,0.000000,24975.000000,254714.000000,0.000000,0.206974
3,20,12,1,8800,79,5017.000000,0.000000,26180.000000,266817.000000,0.000000,7.289169
3,20,12,2,4400,79,4926.000000,0.000000,28347.000000,288396.000000,0.000000,1.695658
3,20,12,5,1760,79,5146.000000,0.000000,33316.000000,338306.000000,0.000000,0.128341
4,20,12,1,10962,86,4068.000000,0.000000,7242.000000,76488.000000,0.000000,12.283823
4,20,12,2,5544,86,4083.000000,0.000000,8162.000000,85703.000000,0.000000,4.991186
4,20,12,5,2268,86,4427.000000,0.000000,15533.000000,159757.000000,0.000000,0.661348
0,30,12,1,26412,141,12010.000000,0.000000,33517.000000,347180.000000,0.339549,600.023267
0,30,12,2,13206,141,11853.000000,0.000000,28658.000000,298433.000000,0.000000,341.577350
0,30,12,5,5394,141,11997.000000,0.000000,36030.000000,372297.000000,0.000000,6.280317
1,30,12,1,21948,117,7732.000000,0.000000,703.000000,14762.000000,0.010229,600.012488
1,30,12,2,10974,117,7635.000000,0.000000,1152.000000,19155.000000,0.000000,37.531388
1,30,12,5,4464,117,8273.000000,0.000000,3310.000000,41373.000000,0.000000,2.002150
2,30,12,1,21344,115,9740.000000,0.000000,14098.000000,150720.000000,0.000100,187.126886
2,30,12,2,10672,115,9744.000000,0.000000,19747.000000,207214.000000,0.000000,16.475243
2,30,12,5,4416,115,10241.000000,0.000000,38510.000000,395341.000000,0.000000,1.178969
3,30,12,1,18860,114,8916.000000,0.000000,21016.000000,219076.000000,0.000037,87.997286
3,30,12,2,9512,114,8995.000000,0.000000,23301.000000,242005.000000,0.000096,15.355715
3,30,12,5,3772,114,9272.000000,0.000000,31419.000000,323462.000000,0.000000,0.731980
4,30,12,1,23370,122,9017.000000,0.000000,5889.000000,67907.000000,0.000000,99.158106
4,30,12,2,11780,122,8879.000000,0.000000,6017.000000,69049.000000,0.000000,20.416855
4,30,12,5,4750,122,9379.000000,0.000000,27362.000000,282999.000000,0.000074,1.811550
0,40,12,1,42592,175,18816.000000,0.000000,115791.000000,1176726.000000,0.856591,600.007007
0,40,12,2,21296,175,17601.000000,0.000000,33732.000000,354921.000000,0.254543,600.009425
0,40,12,5,8712,175,17914.000000,0.000000,40388.000000,421794.000000,0.000012,32.969456
1,40,12,1,40748,166,12624.000000,0.000000,660.000000,19224.000000,0.045436,600.085440
1,40,12,2,20496,166,12524.000000,0.000000,1376.000000,26284.000000,0.000000,294.570452
1,40,12,5,8296,166,12742.000000,0.000000,2621.000000,38952.000000,0.000000,17.090995
2,40,12,1,37288,157,14558.000000,0.000000,18878.000000,203338.000000,0.115868,600.010878
