
Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 14:46:49 2023

Set parameter LogFile to value "Java/output/pure_mip_2_machine/scenario_seed_4_nJob_40_machineCount_2/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 558 rows, 7140 columns and 29142 nonzeros
Model fingerprint: 0xdbb5dcf4
Variable types: 0 continuous, 7140 integer (7140 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [5e+00, 2e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 12 rows and 1065 columns
Presolve time: 0.04s
Presolved: 546 rows, 6075 columns, 24921 nonzeros
Variable types: 0 continuous, 6075 integer (6075 binary)

Root relaxation: objective 1.103122e+04, 3328 iterations, 0.10 seconds (0.16 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 11031.2227    0  249          - 11031.2227      -     -    0s
H    0     0                    8266772.0000 11031.2227   100%     -    0s
H    0     0                    6198154.0000 11031.2227   100%     -    0s
H    0     0                    5557208.0000 11031.2227   100%     -    0s
H    0     0                    1806897.0000 11166.8841  99.4%     -    0s
H    0     0                    1662164.0000 11166.8841  99.3%     -    0s
     0     0 11166.9208    0  332 1662164.00 11166.9208  99.3%     -    0s
H    0     0                    1296377.0000 11166.9208  99.1%     -    0s
     0     0 11216.2057    0  380 1296377.00 11216.2057  99.1%     -    0s
H    0     0                    74100.000000 11216.2057  84.9%     -    0s
H    0     0                    71995.000000 11216.2057  84.4%     -    0s
H    0     0                    71969.000000 11216.2057  84.4%     -    0s
     0     0 11251.0359    0  355 71969.0000 11251.0359  84.4%     -    0s
     0     0 11253.6671    0  364 71969.0000 11253.6671  84.4%     -    0s
     0     0 11253.9499    0  367 71969.0000 11253.9499  84.4%     -    0s
     0     0 11253.9499    0  367 71969.0000 11253.9499  84.4%     -    0s
     0     0 11296.1936    0  393 71969.0000 11296.1936  84.3%     -    0s
H    0     0                    71838.000000 11296.1936  84.3%     -    0s
     0     0 11299.0297    0  389 71838.0000 11299.0297  84.3%     -    0s
     0     0 11299.3170    0  401 71838.0000 11299.3170  84.3%     -    0s
     0     0 11300.5418    0  391 71838.0000 11300.5418  84.3%     -    0s
     0     0 11301.6793    0  409 71838.0000 11301.6793  84.3%     -    0s
     0     0 11301.6796    0  410 71838.0000 11301.6796  84.3%     -    0s
     0     0 11385.6129    0  399 71838.0000 11385.6129  84.2%     -    1s
H    0     0                    69908.000000 11385.6129  83.7%     -    1s
H    0     0                    69680.000000 11385.6129  83.7%     -    1s
     0     0 11423.0337    0  394 69680.0000 11423.0337  83.6%     -    1s
     0     0 11426.9346    0  409 69680.0000 11426.9346  83.6%     -    1s
     0     0 11428.1437    0  413 69680.0000 11428.1437  83.6%     -    1s
     0     0 11428.3192    0  421 69680.0000 11428.3192  83.6%     -    1s
     0     0 11612.1667    0  410 69680.0000 11612.1667  83.3%     -    1s
H    0     0                    69560.000000 11612.1667  83.3%     -    1s
H    0     0                    69315.000000 11612.1667  83.2%     -    1s
     0     0 11629.5401    0  436 69315.0000 11629.5401  83.2%     -    1s
     0     0 11630.4143    0  440 69315.0000 11630.4143  83.2%     -    1s
     0     0 11630.8864    0  451 69315.0000 11630.8864  83.2%     -    1s
     0     0 11630.9672    0  449 69315.0000 11630.9672  83.2%     -    1s
     0     0 12413.1057    0  438 69315.0000 12413.1057  82.1%     -    1s
H    0     0                    69273.000000 12413.1057  82.1%     -    1s
H    0     0                    68095.000000 12413.1057  81.8%     -    1s
     0     0 12583.1362    0  432 68095.0000 12583.1362  81.5%     -    2s
     0     0 12728.1874    0  452 68095.0000 12728.1874  81.3%     -    2s
     0     0 12730.8337    0  448 68095.0000 12730.8337  81.3%     -    2s
     0     0 12731.4162    0  459 68095.0000 12731.4162  81.3%     -    2s
     0     0 12775.0171    0  476 68095.0000 12775.0171  81.2%     -    2s
H    0     0                    60199.000000 12775.0171  78.8%     -    2s
     0     0 12782.5372    0  470 60199.0000 12782.5372  78.8%     -    2s
     0     0 12786.2616    0  465 60199.0000 12786.2616  78.8%     -    2s
     0     0 12786.5299    0  474 60199.0000 12786.5299  78.8%     -    2s
     0     0 12830.0863    0  471 60199.0000 12830.0863  78.7%     -    2s
H    0     0                    60180.000000 12830.0863  78.7%     -    2s
     0     0 12885.5675    0  435 60180.0000 12885.5675  78.6%     -    2s
     0     0 12888.7765    0  452 60180.0000 12888.7765  78.6%     -    2s
     0     0 12889.4967    0  457 60180.0000 12889.4967  78.6%     -    2s
     0     0 13066.4875    0  463 60180.0000 13066.4875  78.3%     -    3s
H    0     0                    60170.000000 13066.4875  78.3%     -    3s
     0     0 13067.6759    0  470 60170.0000 13067.6759  78.3%     -    3s
     0     0 13077.1265    0  470 60170.0000 13077.1265  78.3%     -    3s
     0     0 13077.1265    0  466 60170.0000 13077.1265  78.3%     -    3s
