instance,#jobs,#machines,increment,#Varibles,final time point,Before Tune Weighted Completion Time,Before Tune Total Deviation,Before Tune Weighted Total Tardiness,After Tune Weighted Completion Time,After Tune Total Deviation,After Tune Weighted Total Tardiness,Before Tune Objective Value,After Tune Objective,After Tune Gap,Low Cpu Time,Medium Cpu Time,High Cpu Time,Tune Cpu Time,Low Total Weighted Completion Time,Medium Total Weighted Completion Time,High Total Weighted Completion Time,Low Total Weighted Tardiness,Medium Total Weighted Tardiness,High Total Weighted Tardiness
0,40,12,1,0,182,17144.000000,0.000000,30607.000000,20233.000000,0.000000,1705.000000,323214.000000,37283.000000,0.474291,2.243781,1.125630,76.790594,518.020138,1748.000000,4724.000000,10672.000000,21259.000000,9348.000000,0.000000
0,40,12,2,0,182,17283.000000,0.000000,31472.000000,21139.000000,0.000000,6957.000000,332003.000000,90709.000000,0.784387,1.401272,0.151838,7.829816,589.024334,1731.000000,4768.000000,10784.000000,21536.000000,9936.000000,0.000000
1,40,12,1,0,165,11900.000000,0.000000,9446.000000,12978.000000,0.000000,364.000000,106360.000000,16618.000000,0.267120,1.895353,18.983936,10.191856,568.027017,1504.000000,3532.000000,6864.000000,9346.000000,100.000000,0.000000
1,40,12,2,0,165,11968.000000,0.000000,9607.000000,14728.000000,0.000000,727.000000,108038.000000,21998.000000,0.444677,0.959289,1.826069,0.907672,596.018805,1492.000000,3564.000000,6912.000000,9463.000000,144.000000,0.000000
2,40,12,1,0,190,14092.000000,0.000000,30543.000000,17880.000000,0.000000,3004.000000,319522.000000,47920.000000,0.172976,1.200681,1.117864,5.759436,590.029499,1708.000000,4000.000000,8384.000000,15159.000000,15384.000000,0.000000
2,40,12,2,0,190,14969.000000,0.000000,47838.000000,19518.000000,0.000000,2384.000000,493349.000000,43358.000000,0.045897,0.355825,0.189291,0.800299,597.016957,1809.000000,4680.000000,8480.000000,22306.000000,25532.000000,0.000000
0,50,12,1,0,260,21930.000000,0.000000,30101.000000,21812.000000,0.000000,21016.000000,322940.000000,231972.000000,0.897277,3.342555,4.494492,200.008652,391.013358,2658.000000,6312.000000,12960.000000,30065.000000,36.000000,0.000000
0,50,12,2,0,260,22316.000000,0.000000,31243.000000,26673.000000,0.000000,13560.000000,334746.000000,162273.000000,0.850478,1.395519,1.177090,126.127785,469.018968,2680.000000,6468.000000,13168.000000,31063.000000,180.000000,0.000000
1,50,12,1,0,206,16527.000000,0.000000,24534.000000,22085.000000,0.000000,8555.000000,261867.000000,107635.000000,0.814305,46.685410,5.384331,200.009725,347.022013,2435.000000,5292.000000,8800.000000,13458.000000,11076.000000,0.000000
1,50,12,2,0,206,16674.000000,0.000000,26094.000000,22039.000000,0.000000,5640.000000,277614.000000,78439.000000,0.741251,4.422654,1.850629,10.055695,582.012205,2438.000000,5308.000000,8928.000000,13714.000000,12380.000000,0.000000
2,50,12,1,0,242,19806.000000,0.000000,37339.000000,24072.000000,0.000000,1977.000000,393196.000000,43842.000000,0.535240,14.863048,3.250509,6.952862,574.011962,2634.000000,5940.000000,11232.000000,32271.000000,5068.000000,0.000000
2,50,12,2,0,242,20034.000000,0.000000,38002.000000,24682.000000,0.000000,1767.000000,400054.000000,42352.000000,0.513553,3.463304,2.024221,0.882484,592.019595,2678.000000,6028.000000,11328.000000,33278.000000,4724.000000,0.000000
