instance,#jobs,#machines,increment,#Varibles,final time point,Weighted Completion Time,Total Deviation,Weighted Total Tardiness,Objective Value,Gap,Cpu Time
0,40,6,1,52030,429,27688.000000,0.000000,0.000000,27688.000000,0.132484,600.030320
0,40,12,1,52756,217,17872.000000,0.000000,4.000000,17912.000000,0.128008,600.053397
0,40,6,2,26015,429,27818.000000,0.000000,0.000000,27818.000000,0.112355,600.024047
0,40,12,2,26378,217,18262.000000,0.000000,9.000000,18352.000000,0.119478,600.008166
0,40,6,5,10406,429,25509.000000,0.000000,375.000000,29259.000000,0.014810,600.009403
0,40,12,5,10648,217,16814.000000,0.000000,1072.000000,27534.000000,0.000000,364.778856
0,50,6,1,84450,562,42017.000000,0.000000,1481.000000,56827.000000,0.500057,600.051124
0,50,12,1,85800,285,28341.000000,0.000000,19189.000000,220231.000000,0.988992,600.069463
0,50,6,2,42300,562,37609.000000,0.000000,0.000000,37609.000000,0.126742,600.021320
0,50,12,2,42900,285,22506.000000,0.000000,26.000000,22766.000000,0.134504,600.012843
0,50,6,5,16950,562,34516.000000,0.000000,660.000000,41116.000000,0.021168,600.009882
0,50,12,5,17400,285,21868.000000,0.000000,1133.000000,33198.000000,0.001095,600.012909
