
Gurobi 9.5.2 (mac64[arm]) logging started Sun Apr 30 16:14:57 2023

Set parameter LogFile to value "Java/output/special_mip/scenario_seed_0_nJob_40_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 718 rows, 10406 columns and 45325 nonzeros
Model fingerprint: 0x805af7f8
Variable types: 0 continuous, 10406 integer (10406 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [1e+00, 9e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 3.215979e+07
Presolve added 9 rows and 0 columns
Presolve removed 0 rows and 722 columns
Presolve time: 0.05s
Presolved: 727 rows, 9684 columns, 40320 nonzeros
Variable types: 0 continuous, 9684 integer (9660 binary)
Found heuristic solution: objective 2.925997e+07

Root relaxation: objective 2.329239e+04, 4567 iterations, 0.16 seconds (0.30 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 23292.3889    0  197 2.9260e+07 23292.3889   100%     -    0s
H    0     0                    1.172612e+07 23292.3889   100%     -    0s
H    0     0                    1.098390e+07 23292.3889   100%     -    0s
H    0     0                    3132946.0000 23313.9399  99.3%     -    0s
     0     0 23313.9399    0  325 3132946.00 23313.9399  99.3%     -    0s
H    0     0                    3108506.0000 23313.9399  99.2%     -    0s
H    0     0                    2904076.0000 23313.9399  99.2%     -    0s
     0     0 23314.5190    0  303 2904076.00 23314.5190  99.2%     -    0s
     0     0 23343.2369    0  378 2904076.00 23343.2369  99.2%     -    0s
H    0     0                    2904056.0000 23343.2369  99.2%     -    0s
H    0     0                    2903966.0000 23343.2369  99.2%     -    0s
H    0     0                    2742001.0000 23343.2369  99.1%     -    0s
     0     0 23343.6308    0  413 2742001.00 23343.6308  99.1%     -    0s
     0     0 23343.6392    0  409 2742001.00 23343.6392  99.1%     -    0s
     0     0 23369.4763    0  404 2742001.00 23369.4763  99.1%     -    1s
H    0     0                    2741781.0000 23369.4763  99.1%     -    1s
H    0     0                    2740866.0000 23369.4763  99.1%     -    1s
     0     0 23375.8880    0  479 2740866.00 23375.8880  99.1%     -    1s
     0     0 23378.6654    0  490 2740866.00 23378.6654  99.1%     -    1s
     0     0 23379.2581    0  487 2740866.00 23379.2581  99.1%     -    1s
     0     0 23379.2943    0  480 2740866.00 23379.2943  99.1%     -    1s
     0     0 23403.7285    0  477 2740866.00 23403.7285  99.1%     -    1s
H    0     0                    2740806.0000 23403.7285  99.1%     -    1s
     0     0 23409.1353    0  493 2740806.00 23409.1353  99.1%     -    1s
H    0     0                    2707396.0000 23409.4877  99.1%     -    1s
     0     0 23409.4877    0  492 2707396.00 23409.4877  99.1%     -    1s
H    0     0                    414681.00000 23409.5317  94.4%     -    1s
     0     0 23409.5317    0  491 414681.000 23409.5317  94.4%     -    1s
     0     0 23418.2795    0  471 414681.000 23418.2795  94.4%     -    1s
H    0     0                    414641.00000 23418.2795  94.4%     -    1s
H    0     0                    413046.00000 23418.2795  94.3%     -    2s
H    0     0                    366831.00000 23420.8897  93.6%     -    2s
H    0     0                    366471.00000 23420.8897  93.6%     -    2s
     0     0 23420.8897    0  498 366471.000 23420.8897  93.6%     -    2s
     0     0 23421.1330    0  490 366471.000 23421.1330  93.6%     -    2s
H    0     0                    79321.000000 23421.1386  70.5%     -    2s
     0     0 23421.1386    0  501 79321.0000 23421.1386  70.5%     -    2s
H    0     0                    79011.000000 23431.0436  70.3%     -    2s
H    0     0                    78336.000000 23431.0436  70.1%     -    2s
     0     0 23431.0436    0  491 78336.0000 23431.0436  70.1%     -    2s
H    0     0                    43866.000000 23431.0436  46.6%     -    2s
     0     0 23435.9591    0  497 43866.0000 23435.9591  46.6%     -    2s
     0     0 23439.8943    0  510 43866.0000 23439.8943  46.6%     -    2s
     0     0 23441.6667    0  511 43866.0000 23441.6667  46.6%     -    2s
     0     0 23442.0174    0  526 43866.0000 23442.0174  46.6%     -    2s
     0     0 23442.1281    0  525 43866.0000 23442.1281  46.6%     -    2s
     0     0 23449.1408    0  544 43866.0000 23449.1408  46.5%     -    2s
     0     0 23451.3817    0  549 43866.0000 23451.3817  46.5%     -    2s
     0     0 23451.6870    0  554 43866.0000 23451.6870  46.5%     -    2s
     0     0 23451.7226    0  551 43866.0000 23451.7226  46.5%     -    2s
     0     0 23463.2474    0  555 43866.0000 23463.2474  46.5%     -    3s
H    0     0                    43861.000000 23463.2474  46.5%     -    3s
     0     0 23468.2451    0  544 43861.0000 23468.2451  46.5%     -    3s
     0     0 23470.4847    0  552 43861.0000 23470.4847  46.5%     -    3s
     0     0 23471.2699    0  554 43861.0000 23471.2699  46.5%     -    3s
     0     0 23471.9511    0  554 43861.0000 23471.9511  46.5%     -    3s
     0     0 23472.1046    0  555 43861.0000 23472.1046  46.5%     -    3s
     0     0 23477.2909    0  591 43861.0000 23477.2909  46.5%     -    3s
