
Gurobi 9.5.2 (mac64[arm]) logging started Mon May  1 17:27:03 2023

Set parameter LogFile to value "Java/output/special_mip/scenario_seed_1_nJob_40_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1452 rows, 25376 columns and 179165 nonzeros
Model fingerprint: 0x5e3703a4
Variable types: 0 continuous, 25376 integer (25376 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e+00, 5e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 49 rows and 2659 columns
Presolve time: 0.17s
Presolved: 1403 rows, 22717 columns, 159463 nonzeros
Variable types: 0 continuous, 22717 integer (22709 binary)

Root relaxation: objective 1.284139e+04, 10488 iterations, 1.03 seconds (2.49 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 12841.3926    0  456          - 12841.3926      -     -    1s
H    0     0                    9461300.0000 12841.3926   100%     -    1s
H    0     0                    4401818.0000 12841.3926   100%     -    1s
H    0     0                    605923.00000 12914.0683  97.9%     -    2s
     0     0 12914.0683    0  528 605923.000 12914.0683  97.9%     -    3s
H    0     0                    557753.00000 12914.0683  97.7%     -    3s
H    0     0                    469937.00000 12914.0683  97.3%     -    3s
     0     0 12914.1307    0  521 469937.000 12914.1307  97.3%     -    3s
     0     0 12914.1309    0  524 469937.000 12914.1309  97.3%     -    3s
     0     0 13044.6558    0  573 469937.000 13044.6558  97.2%     -    5s
H    0     0                    462919.00000 13044.6558  97.2%     -    5s
H    0     0                    324173.00000 13044.6558  96.0%     -    5s
     0     0 13059.4070    0  580 324173.000 13059.4070  96.0%     -    7s
     0     0 13061.9438    0  581 324173.000 13061.9438  96.0%     -    7s
     0     0 13062.0550    0  596 324173.000 13062.0550  96.0%     -    7s
     0     0 13062.0565    0  583 324173.000 13062.0565  96.0%     -    7s
     0     0 13145.0012    0  625 324173.000 13145.0012  95.9%     -    9s
H    0     0                    323973.00000 13145.0012  95.9%     -    9s
     0     0 13184.4395    0  631 323973.000 13184.4395  95.9%     -   10s
     0     0 13185.3468    0  634 323973.000 13185.3468  95.9%     -   10s
     0     0 13185.5199    0  638 323973.000 13185.5199  95.9%     -   10s
     0     0 13185.5462    0  651 323973.000 13185.5462  95.9%     -   10s
     0     0 13239.2628    0  666 323973.000 13239.2628  95.9%     -   11s
H    0     0                    323875.00000 13239.2628  95.9%     -   11s
H    0     0                    321669.00000 13239.2628  95.9%     -   11s
H    0     0                    225818.00000 13239.2628  94.1%     -   11s
     0     0 13258.3234    0  678 225818.000 13258.3234  94.1%     -   12s
     0     0 13261.6221    0  696 225818.000 13261.6221  94.1%     -   13s
     0     0 13262.5855    0  709 225818.000 13262.5855  94.1%     -   13s
     0     0 13262.6680    0  715 225818.000 13262.6680  94.1%     -   13s
     0     0 13543.0072    0  676 225818.000 13543.0072  94.0%     -   14s
H    0     0                    219808.00000 13543.0072  93.8%     -   14s
H    0     0                    213732.00000 13543.0072  93.7%     -   14s
     0     0 13576.9360    0  688 213732.000 13576.9360  93.6%     -   16s
     0     0 13584.6983    0  695 213732.000 13584.6983  93.6%     -   17s
     0     0 13585.8443    0  719 213732.000 13585.8443  93.6%     -   17s
     0     0 13586.0279    0  732 213732.000 13586.0279  93.6%     -   18s
     0     0 13634.7302    0  733 213732.000 13634.7302  93.6%     -   18s
H    0     0                    212762.00000 13634.7302  93.6%     -   19s
H    0     0                    212584.00000 13634.7302  93.6%     -   19s
H    0     0                    145132.00000 13634.7302  90.6%     -   19s
     0     0 13647.2070    0  743 145132.000 13647.2070  90.6%     -   20s
     0     0 13659.1053    0  745 145132.000 13659.1053  90.6%     -   21s
     0     0 13660.0911    0  757 145132.000 13660.0911  90.6%     -   21s
     0     0 13660.3178    0  743 145132.000 13660.3178  90.6%     -   21s
     0     0 13690.0384    0  765 145132.000 13690.0384  90.6%     -   22s
H    0     0                    145100.00000 13690.0384  90.6%     -   22s
H    0     0                    145068.00000 13690.0384  90.6%     -   22s
H    0     0                    144702.00000 13690.0384  90.5%     -   24s
     0     0 13702.0163    0  781 144702.000 13702.0163  90.5%     -   25s
     0     0 13703.4179    0  797 144702.000 13703.4179  90.5%     -   25s
     0     0 13703.6031    0  799 144702.000 13703.6031  90.5%     -   26s
     0     0 13724.4841    0  771 144702.000 13724.4841  90.5%     -   27s
H    0     0                    144420.00000 13724.4841  90.5%     -   27s
     0     0 13731.9181    0  769 144420.000 13731.9181  90.5%     -   27s
     0     0 13734.5362    0  763 144420.000 13734.5362  90.5%     -   27s
     0     0 13735.2052    0  771 144420.000 13735.2052  90.5%     -   28s
     0     0 13751.3697    0  761 144420.000 13751.3697  90.5%     -   28s
H    0     0                    126311.00000 13751.3697  89.1%     -   30s
     0     0 13757.9069    0  772 126311.000 13757.9069  89.1%     -   30s
     0     0 13763.7787    0  803 126311.000 13763.7787  89.1%     -   31s
